V,delta_V,I,I_SI,delta_I,delta_I_SI,delta_ln_I
6.0985,1.00E-04,9.764,0.009764,0.001,0.000001,0.000102417
6.1255,1.00E-04,10.286,0.010286,0.001,0.000001,9.72E-05
6.1528,1.00E-04,10.853,0.010853,0.001,0.000001,9.21E-05
6.1794,1.00E-04,11.43,0.01143,0.001,0.000001,8.75E-05
6.2328,1.00E-04,12.682,0.012682,0.001,0.000001,7.89E-05
6.2769,1.00E-04,13.825,0.013825,0.001,0.000001,7.23E-05
6.3028,1.00E-04,14.545,0.014545,0.001,0.000001,6.88E-05
6.329,1.00E-04,15.311,0.015311,0.001,0.000001,6.53E-05
6.3716,1.00E-04,16.65,0.01665,0.001,0.000001,6.01E-05
6.3973,1.00E-04,17.52,0.01752,0.001,0.000001,5.71E-05
